on x=-4..48,y=-30..24,z=-39..15
on x=-19..33,y=-15..29,z=-4..42
on x=-1..49,y=-14..38,z=-27..20
on x=-28..16,y=-16..36,z=-21..27
on x=-23..27,y=-26..20,z=-23..22
on x=-8..43,y=-10..43,z=-21..30
on x=-45..4,y=-6..47,z=-15..33
on x=-22..22,y=-6..45,z=-29..19
on x=-30..18,y=-47..-3,z=-24..22
on x=-6..43,y=-37..8,z=-19..27
off x=18..28,y=-15..4,z=32..49
on x=-2..45,y=-17..35,z=-15..34
off x=-49..-33,y=-49..-31,z=-10..5
on x=-31..21,y=-12..34,z=-48..6
off x=-38..-27,y=-44..-25,z=-17..-4
on x=-21..32,y=-9..45,z=-18..33
off x=-14..3,y=-10..-1,z=-40..-29
on x=-30..16,y=-13..34,z=-4..45
off x=24..34,y=13..32,z=-38..-25
on x=-27..26,y=-14..38,z=-24..22
on x=35544..55136,y=51736..62748,z=-58537..-33425
on x=33690..50869,y=-78828..-40948,z=-44269..-23196
on x=65407..77846,y=-1962..21102,z=30745..35336
on x=43820..63036,y=45669..68304,z=-27802..-19946
on x=-80968..-79217,y=-15189..550,z=-20396..-2177
on x=22543..55131,y=-50184..-36252,z=46098..64106
on x=-12595..7924,y=-24867..-13344,z=-96867..-68102
on x=9874..31255,y=65277..89043,z=-936..16277
on x=-13411..5153,y=-10968..4147,z=-87107..-78849
on x=-8897..8799,y=57380..81655,z=9642..37776
on x=67474..84855,y=-6483..10922,z=41290..57415
on x=-8012..1755,y=34193..64326,z=48900..73023
on x=54961..78882,y=-7659..5406,z=36768..70357
on x=4538..32860,y=-47844..-36498,z=51393..73621
on x=16397..28684,y=16381..47358,z=-87090..-57131
on x=38468..57198,y=-14413..-5639,z=-67748..-57437
on x=-60663..-47089,y=-34032..-26482,z=49838..59849
on x=-35900..-24050,y=-62434..-43634,z=35478..45195
on x=39580..65361,y=49921..69519,z=19635..40186
on x=72891..74867,y=-42056..-22591,z=-6916..20783
on x=1951..24816,y=-74448..-64168,z=-36633..-31963
on x=24833..49754,y=20298..43211,z=51546..73514
on x=-3167..30380,y=35722..38122,z=-76109..-57000
on x=-82903..-79067,y=-8395..20541,z=-5265..4392
on x=3218..14953,y=-13800..-1624,z=-89481..-62873
on x=-53283..-38277,y=1641..4903,z=-70901..-45748
on x=-32141..-25640,y=-34847..-13896,z=69407..86876
on x=37990..61788,y=44601..58722,z=-49195..-29888
on x=46963..82000,y=-20841..-6866,z=27132..57574
on x=53439..75061,y=42180..56045,z=-29192..-7810
on x=56225..83464,y=-29936..-24016,z=9181..40276
on x=-25381..6615,y=-36495..-470,z=-92049..-72629
on x=32658..54160,y=47754..70225,z=-6772..7057
on x=1541..22570,y=64100..80080,z=-46051..-26336
on x=290..25368,y=-75499..-38271,z=-71991..-44993
on x=-90436..-74173,y=-16161..9329,z=-6785..12872
on x=-77341..-60209,y=12324..44621,z=-14282..15269
on x=43442..74799,y=38197..48084,z=9898..46142
on x=-8617..-3246,y=-18762..3821,z=-87843..-72818
on x=30362..51314,y=-8722..8473,z=54067..78087
on x=-27208..-9871,y=10214..23370,z=70814..83559
on x=-34980..-14547,y=-78208..-70283,z=-27640..-3899
on x=-42751..-6005,y=44998..73226,z=34016..57989
on x=-82302..-64007,y=13489..29455,z=-38227..-20899
on x=-11988..12700,y=-28404..-6516,z=-90902..-70602
on x=33172..47497,y=-22050..5845,z=63959..73452
on x=4520..20681,y=53723..81778,z=42603..64776
on x=9456..39703,y=48507..61312,z=-51529..-40905
on x=-40098..-6364,y=30241..51715,z=-80424..-53739
on x=12558..41048,y=-75142..-67808,z=-28847..-5450
on x=-45305..-37476,y=59373..65800,z=30613..52009
on x=-51862..-28691,y=-80526..-49298,z=7585..33680
on x=33988..56509,y=-76294..-52403,z=-24060..8376
on x=66701..87231,y=-14532..2225,z=-2979..12349
on x=6390..28035,y=24319..41006,z=66533..72374
on x=-92154..-59055,y=17719..22642,z=6955..28468
on x=33232..43716,y=-9213..10287,z=-76824..-69144
on x=-15670..8102,y=55811..91367,z=-36831..-16337
on x=-11992..-4723,y=51539..87697,z=23232..47761
on x=-5295..18741,y=-72590..-48553,z=-73622..-40811
on x=18186..41716,y=67026..78411,z=-34911..-5988
on x=-68762..-64823,y=-45789..-18913,z=9605..45048
on x=-12471..-8333,y=-49562..-33936,z=-68222..-58934
on x=-1314..15331,y=-30976..-16222,z=67572..84940
on x=-67163..-61062,y=-53863..-18643,z=-47613..-15657
on x=71390..87446,y=-28061..-15108,z=-17260..5398
on x=43837..73348,y=47081..51019,z=-27859..-13016
on x=38886..48555,y=44108..70423,z=28181..43111
on x=-77134..-58601,y=-13936..11454,z=22269..39015
on x=16000..20829,y=-96924..-65406,z=-17350..6468
on x=-63622..-40677,y=39467..48832,z=28335..33734
on x=-83957..-71425,y=18893..29929,z=-11533..-2293
on x=-92470..-69285,y=14707..19654,z=18369..26120
on x=13641..38318,y=-32184..-19122,z=-82832..-59293
on x=38368..44793,y=7451..23119,z=-79164..-55642
on x=-34078..-24088,y=37612..70266,z=-57847..-30148
on x=45511..61076,y=25218..47528,z=21820..50200
on x=-9251..14390,y=-26731..9955,z=-84053..-62781
on x=7166..29475,y=65191..78750,z=-56267..-31353
on x=-1215..16834,y=-98600..-71219,z=-235..21112
on x=66193..69134,y=28687..42487,z=-17341..-7323
on x=-32865..-5842,y=14478..43666,z=-87864..-55075
on x=40182..48489,y=57444..85093,z=-21528..-5631
on x=-37152..-5019,y=30492..43671,z=56217..78887
on x=46382..55909,y=-67994..-58067,z=-16846..-3160
on x=32700..56924,y=22430..44279,z=41830..63068
on x=26774..34296,y=-80268..-60786,z=13217..29206
on x=-5802..1019,y=34264..65124,z=50883..74910
on x=-42392..-13729,y=13094..41810,z=-79316..-51263
on x=-16021..473,y=57439..86998,z=-46753..-30286
on x=-62595..-45603,y=4608..9583,z=57915..82579
on x=-4473..1973,y=57840..73813,z=-68167..-33772
on x=-83547..-62073,y=-33126..-18871,z=-17468..2918
on x=-46545..-39844,y=-70331..-60310,z=13062..37682
on x=-31519..469,y=-711..7423,z=-94431..-62298
on x=60002..89047,y=-29111..-9661,z=12744..28690
on x=-1450..20279,y=-13723..5802,z=-98979..-77404
on x=-7347..23250,y=-90904..-68475,z=-38218..-31606
on x=-15622..-8177,y=62746..92916,z=-31184..3126
